Student ID,Mechanics,Momentum,Gravity,Electricity,Magnetism,Relativity,Time: Mechanics,Time: Momentum,Time: Gravity,Time: Electricity,Time: Magnetism,Time: Relativity
Student 1,5.64433393979699,4.7259622081089,5.2885091738201,5.34147071922572,5.38129444430229,5.24486827769676,35.7246385214922,36.9916692038316,39.4624249801833,37.5098382201724,39.1672744902698,36.7723223029383
Student 2,5.34433393979699,4.8259622081089,4.3885091738201,4.74147071922572,4.98129444430229,4.74486827769676,17.1827666595549,40.9598373111292,34.3878274318936,28.2913012314795,45.1344442742206,32.2136836810305
Student 3,5.34433393979699,5.3259622081089,5.1885091738201,5.44147071922572,5.38129444430229,5.24486827769676,23.4355263477375,37.6132134289006,32.4150725265476,33.4646599499522,37.9789664345759,28.8271838208559
Student 4,,4.6259622081089,5.1885091738201,4.84147071922572,5.08129444430229,5.44486827769676,,41.2759240524998,38.3392392105018,31.8303887248748,29.8378859013503,32.8190975410933
Student 5,4.94433393979699,5.4259622081089,5.0885091738201,5.44147071922572,5.08129444430229,5.24486827769676,5.65284816604738,18.9147440129612,19.3593703227349,7.3151262245127,23.9256630581198,17.1661306372429
Student 6,,5.52596220810889,4.9885091738201,5.54147071922572,,4.94486827769676,,38.3819284041297,40.1480779445027,34.8491016779665,,32.4360095579145
Student 7,5.44433393979699,4.9259622081089,4.5885091738201,5.04147071922572,5.28129444430229,5.24486827769676,27.9738643931735,42.893810704418,37.2394489666954,34.7489229378465,41.5611526718182,34.3118331930836
Student 8,5.14433393979699,5.1259622081089,4.8885091738201,4.94147071922572,5.08129444430229,4.94486827769676,4.06163009789399,22.9161675688569,20.5517117781196,7.32685510697389,23.3831162766273,21.4619693760229
Student 9,5.04433393979699,5.3259622081089,4.9885091738201,5.44147071922572,4.98129444430229,5.04486827769676,26.1119462886869,39.6723821623056,43.6626913845533,28.2537682682101,51.7359051996326,32.9245629062257
Student 10,4.94433393979699,5.2259622081089,5.3885091738201,5.14147071922572,5.48129444430229,5.04486827769676,6.19937173253933,18.0759994952547,11.5053103846657,7.13730185250426,27.0531377120881,10.3957940791018
Student 11,5.44433393979699,5.52596220810889,4.9885091738201,5.14147071922572,5.28129444430229,5.14486827769676,10.0813553479277,14.9218590098019,13.0145611063584,3.88886556477996,22.6283858227278,24.245117215799
Student 12,4.94433393979699,4.8259622081089,5.1885091738201,5.24147071922572,,5.14486827769676,28.3165769654142,35.4013336330915,38.2258427016227,28.6020805174863,,25.9104917450493
Student 13,4.84433393979699,4.8259622081089,4.6885091738201,4.74147071922572,5.28129444430229,4.84486827769676,8.12081104111955,10.154084321549,9.73752980161222,11.8036539556386,19.8756096218739,17.4721780290334
Student 14,5.44433393979699,4.9259622081089,,,5.68129444430229,4.64486827769676,25.1757467343703,33.3403805709659,,,37.8465948079105,37.7434990241662
Student 15,5.24433393979699,4.6259622081089,5.0885091738201,5.14147071922572,5.58129444430229,5.04486827769676,23.8347753766013,32.3915293472582,43.9457554898622,32.5942919934138,23.8878099702345,38.3167848882276
Student 16,5.44433393979699,4.52596220810889,,5.34147071922572,5.18129444430229,5.04486827769676,26.1044201046139,39.6810808387046,,31.6678916776735,34.9287445561061,33.8532128706298
Student 17,5.24433393979699,5.1259622081089,,4.74147071922572,5.48129444430229,5.14486827769676,30.2316536420706,33.2643645873533,,38.1952937799491,41.5368669953067,36.9716779039955
Student 18,5.04433393979699,,5.4885091738201,5.14147071922572,,5.04486827769676,19.4064920989287,,38.4732737046852,26.6773228445335,,34.5766359443796
Student 19,4.94433393979699,4.6259622081089,4.7885091738201,5.14147071922572,5.58129444430229,5.44486827769676,24.7070610303009,40.144996468147,38.9504786398256,30.0472353366021,33.3457984989906,38.2483391894513
Student 20,4.94433393979699,5.2259622081089,4.9885091738201,5.24147071922572,5.08129444430229,4.94486827769676,27.5269979052113,36.8576164640797,35.303230491879,26.9256257133387,48.4196618781807,39.8387991698578
Student 21,5.14433393979699,5.7259622081089,5.0885091738201,5.34147071922572,5.18129444430229,4.64486827769676,18.0326815560342,34.0226877918394,39.5172484106558,33.0838340299728,46.4042373445694,23.0704074636427
Student 22,5.04433393979699,4.3259622081089,4.1885091738201,4.44147071922572,4.28129444430229,4.64486827769676,23.1218487291307,48.0380950188082,47.9641375761559,34.7272650329841,43.7932586362513,31.8502637450407
Student 23,4.94433393979699,4.9259622081089,5.1885091738201,4.64147071922572,4.98129444430229,4.84486827769676,27.8905315368571,36.3277138168312,36.910589128421,33.1491648187697,41.0765874432921,33.3277628129695
Student 24,5.04433393979699,4.9259622081089,4.5885091738201,4.84147071922572,5.08129444430229,5.04486827769676,8.27517279760817,22.1239478410912,25.5656246471734,13.0217026700121,14.8453617045559,18.1580910848086
Student 25,5.84433393979699,5.02596220810889,5.4885091738201,5.04147071922572,4.88129444430229,4.84486827769676,23.6342568875122,38.622135428423,34.5347338815962,32.8234294793082,39.4757727113229,37.474531471238
Student 26,5.14433393979699,5.1259622081089,4.7885091738201,5.24147071922572,5.38129444430229,4.84486827769676,18.4645959023999,36.0507547399382,39.119436376941,29.3831856030131,44.0539227855937,26.5662452856744
Student 27,,5.7259622081089,5.4885091738201,5.74147071922572,5.68129444430229,5.04486827769676,,33.7697273613203,41.6983544465578,17.4531085546755,42.4585379366879,32.9470725379753
Student 28,5.44433393979699,4.8259622081089,4.8885091738201,5.04147071922572,5.18129444430229,4.94486827769676,3.65984895853595,17.7221428321054,20.1159508941421,2.03185642779165,15.2141625817463,15.456332464242
Student 29,5.34433393979699,5.1259622081089,4.9885091738201,5.04147071922572,4.78129444430229,5.14486827769676,22.0791185946349,44.0898614525532,32.3113764379277,24.0428649721046,36.6882009904342,28.5739495444522
Student 30,5.54433393979699,5.2259622081089,,5.14147071922572,5.28129444430229,5.14486827769676,26.2309398501994,39.1524306172929,,23.4697109287055,33.884551812465,33.3184351431198
Student 31,5.14433393979699,4.52596220810889,5.0885091738201,5.44147071922572,4.88129444430229,4.74486827769676,16.0589555345799,26.5815847633011,19.8550882911469,12.0823061886366,23.2457956386213,4.22644199483393
Student 32,5.64433393979699,5.52596220810889,5.2885091738201,5.54147071922572,5.38129444430229,5.44486827769676,24.3472325736443,29.6996423324434,34.256681686567,39.5416979261595,40.1243800886401,37.1925458785182
Student 33,4.94433393979699,5.1259622081089,4.8885091738201,4.54147071922572,4.68129444430229,5.44486827769676,28.6120504722507,42.2658722792583,37.2951050973165,42.3298794417447,48.5324379058779,39.6998763282189
Student 34,5.54433393979699,5.6259622081089,5.3885091738201,5.54147071922572,4.88129444430229,5.34486827769676,32.1150512997493,38.6154572556735,29.2237166497547,35.9415966073524,43.1415767497817,31.2687553234734
Student 35,5.04433393979699,4.7259622081089,4.9885091738201,4.64147071922572,5.08129444430229,5.24486827769676,21.5099346350298,33.0275701262092,35.8820396269803,32.5019903082221,41.0643115092072,40.0198293534454
Student 36,5.34433393979699,5.3259622081089,5.1885091738201,4.64147071922572,5.18129444430229,5.24486827769676,20.6139075623822,36.4573509246082,38.7281357255471,33.7446085138296,35.5621506087013,35.9079327251141
Student 37,5.24433393979699,5.2259622081089,5.0885091738201,5.34147071922572,4.98129444430229,5.94486827769676,4.02545960975414,13.2044930039115,20.8198228245536,5.42154790896819,25.4408264374816,-0.486174372374149
Student 38,5.64433393979699,5.1259622081089,4.4885091738201,4.94147071922572,4.98129444430229,4.84486827769676,-4.59585710517502,13.4103910937696,31.605052856861,12.6854445748266,15.1020765614895,12.1913392872867
Student 39,5.14433393979699,4.7259622081089,,5.24147071922572,5.18129444430229,4.64486827769676,22.9935605077507,43.4851337405118,,31.2229332499476,39.8099988127898,33.5267948734322
Student 40,5.64433393979699,4.8259622081089,5.2885091738201,5.14147071922572,5.38129444430229,4.64486827769676,19.5519611912301,37.246137876715,37.7335461290212,31.5632214409274,36.9044551950225,29.6359398701994
Student 41,4.54433393979699,5.02596220810889,4.0885091738201,5.04147071922572,4.58129444430229,4.74486827769676,27.0529411588226,31.5384096123374,34.0607815080071,33.7196889490218,36.694667637778,38.5146209998328
Student 42,5.34433393979699,5.1259622081089,5.3885091738201,5.44147071922572,5.48129444430229,5.64486827769676,10.3518676014707,19.063102670574,26.3634155715487,11.9542439794882,14.7024787118251,15.4482707937797
Student 43,5.04433393979699,,4.5885091738201,5.24147071922572,5.28129444430229,,27.9580046963889,,33.2713958966077,31.8111799557606,45.429506588507,
Student 44,5.34433393979699,5.02596220810889,4.3885091738201,4.74147071922572,5.18129444430229,4.84486827769676,11.1084275418241,26.0065103533069,19.7336090869322,11.6639616861533,29.2336667270499,14.2363733248463
Student 45,5.34433393979699,5.6259622081089,5.3885091738201,5.24147071922572,5.48129444430229,5.54486827769676,27.582353210939,33.0812929824257,42.226624415424,25.0880861279289,45.4679461341166,33.6927414036496
Student 46,5.44433393979699,5.4259622081089,5.6885091738201,5.24147071922572,5.38129444430229,5.54486827769676,26.8299519346145,37.6176796916748,31.7955892828424,36.0049834435899,35.0313073236093,47.168183704253
Student 47,3.14433393979699,2.6259622081089,2.2885091738201,2.84147071922572,2.28129444430229,2.54486827769676,36.7873405252219,42.0324996815438,43.4080776833618,35.6764519351137,50.289550090261,40.7710899430673
Student 48,5.24433393979699,5.02596220810889,5.0885091738201,5.14147071922572,5.08129444430229,4.94486827769676,28.2439197424637,36.079291110896,40.5954542232521,28.9144990347098,37.7938360698256,31.7931974897953
Student 49,5.64433393979699,5.02596220810889,5.1885091738201,4.64147071922572,5.38129444430229,5.04486827769676,31.7763844669571,39.9775332975722,42.7138043594518,35.8404212733524,51.7483848580415,31.4309304656446
Student 50,2.54433393979699,2.92596220810889,2.6885091738201,2.34147071922572,2.58129444430229,2.74486827769676,39.1773430013722,44.0829923846297,45.6513068567423,37.954561218947,40.4076962876773,43.2196400178212
Student 51,5.34433393979699,4.9259622081089,4.8885091738201,5.04147071922572,5.28129444430229,5.34486827769676,14.905470464811,14.2580710865201,19.3790170225099,8.37671038107959,24.1733830938329,12.3597269530226
Student 52,4.84433393979699,4.8259622081089,5.2885091738201,4.64147071922572,5.38129444430229,4.94486827769676,16.3367281498602,16.4323384873421,22.4657431049283,10.0207292278367,16.1247258145753,13.3868702449562
Student 53,5.24433393979699,5.52596220810889,5.5885091738201,5.24147071922572,4.98129444430229,4.94486827769676,22.4733468987903,43.2474486256989,28.5387839552568,26.5327605136707,41.6698984856675,35.1927747054491
Student 54,4.94433393979699,5.02596220810889,4.6885091738201,4.74147071922572,5.18129444430229,4.84486827769676,26.2981909145983,33.545088379953,46.3553906559308,35.4629775221379,42.685675495619,38.5199661231261
Student 55,4.94433393979699,5.1259622081089,,5.34147071922572,4.78129444430229,5.14486827769676,32.0030599067625,42.6177898305761,,24.1481358435438,37.6216616303137,32.4186035027417
Student 56,5.54433393979699,5.3259622081089,4.9885091738201,5.44147071922572,5.48129444430229,5.04486827769676,34.1652220455539,34.0498277663493,34.5313219102887,36.1817882392831,32.9399984730691,37.4336921527726
Student 57,2.94433393979699,,1.9885091738201,3.04147071922572,3.28129444430229,3.14486827769676,36.3106796271935,,37.8047276457402,37.9300764231096,47.6145255644895,49.1984991041475
Student 58,3.24433393979699,2.72596220810889,2.4885091738201,2.54147071922572,2.58129444430229,2.54486827769676,15.7289055857088,30.0402868378999,24.1516362756275,25.2330510155132,29.765404382235,12.4268526565866
Student 59,5.44433393979699,4.8259622081089,4.8885091738201,5.04147071922572,,5.24486827769676,22.5822927861361,26.9523472273462,45.3039973937815,24.7015080443919,,32.8483436482058
